address,description,phone,price,title
"Montholme Road, Battersea","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£1,450,000 ","4 bedroom terraced house for sale, - "
"Benares Road, Plumstead",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£425,000 ,Guide price","3 bedroom terraced house for sale, - "
"Germander Way, London","We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£350,000 ,Guide price","3 bedroom flat for sale, - "
"Calderwood Street, Woolwich, SE18 6JG","An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£150,000 ,Guide price","1 bedroom apartment for sale, - "
"Fourth Avenue, Queens Park, London W10","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£625,000 ","3 bedroom flat for sale, - "
"Montagu Mansions, Marylebone W1U","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£1,990,000 ,Guide price","2 bedroom flat for sale, - "
"Battersea Power Station, Nine Elms, London SW8",*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914,"£1,347,000 ","2 bedroom apartment for sale, - "
"Shingly Place, North Chingford, London","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£275,000 ,Offers in excess of","1 bedroom flat for sale, - "
"Narrow Street, E14","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£900,000 ,Guide price","2 bedroom apartment for sale, - "
"38b Mansfield Road, ILFORD, IG1","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£250,000 ,Offers in excess of","1 bedroom flat for sale, - "
"39 Windmill Lane, Stratford, E15","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£280,000 ,Offers in excess of","1 bedroom apartment for sale, - "
"The Crescent, SW19","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6866,"£1,600,000 ","5 bedroom terraced house for sale, - "
"Devonshire Drive, Greenwich, SE10","This second floor, one-bedroom apartment features an open plan living/dining area with access to a south facing balcony, overlooking the main piazza. The kitchen comes with fully integrated appliances and matching worktops. Further benefits a large storage cupboard.  High Street Quarter Hounslow...",020 8022 6875,"£635,000 ,Guide price","2 bedroom apartment for sale, - "
"Harcourt Road, Alexandra Park, London","VIRTUAL VIEWING AVAILABLE

Extremely spacious, three bedroom, Victorian family home arranged over three floors and welcomed to the market in beautiful order throughout.


Energy Efficiency Rating D.",020 8033 0230,"£1,150,000 ","4 bedroom terraced house for sale, - "
"Balfour Road, N5 2HD",Luxury three bedroom apartment in the region of 1150 sq ft ideally located for local amenities and transport links.,020 8033 5491,"£550,000 ","2 bedroom apartment for sale, - "
"Chandlers Way, Romford","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£230,000 ","2 bedroom flat for sale, - "
"Myddelton Square, London, EC1R","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£650,000 ,Guide price","1 bedroom flat for sale, - "
"The Merchant Building, 38 Wharf Road, London, N1",Greengate Residential Ltd are proud to offer for sale this exclusivle  two bedroom ground floor maisonette rarely available in this sought after gated development.,020 8033 2462,"£635,000 ","1 bedroom flat for sale, - "
"Drapers Yard, London, SW18",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£825,000 ","2 bedroom flat for sale, - "
"High Street, Hampton Wick, Kingston upon Thames","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£425,000 ,Offers in region of","2 bedroom apartment for sale, - "
"Dovet Court, Mursell Estate, London SW8","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£425,000 ","3 bedroom flat for sale, - "
"Tildesley Road, Putney","This 3-BEDROOM HOUSE on Thimble Crescent features an OPEN PLAN LIVING/DINING AREA and kitchen on the ground floor. The main living room is situated on the first floor, with direct access to a PRIVATE TERRACE as well as a double bedroom. The MAIN BEDROOM FEATURES AN EN SUITE and is located on the...",020 8115 0994,"£375,000 ","2 bedroom flat for sale, - "
"Victoria Park Road, London, E9","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£575,000 ,Guide price","2 bedroom flat for sale, - "
"Northwood Road, Harefield, Middx, UB9",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£250,000 ","1 bedroom maisonette for sale, - "
"Rotherwood Road, Putney, SW15","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£1,275,000 ,Guide price","5 bedroom terraced house for sale, - "
"Egmont Road, New Malden",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£915,000 ","4 bedroom semi-detached house for sale, - "
"Albany Road, Camberwell","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£550,000 ","2 bedroom flat for sale, - "
"Burrage Road, Woolwich",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£470,000 ,Guide price","4 bedroom terraced house for sale, - "
Red Lion Lane London SE18,"We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£380,000 ","2 bedroom terraced house for sale, - "
"Driffield Road, E3","An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£1,075,000 ","2 bedroom terraced house for sale, - "
"Copperfields Way, Harold Wood","Property Point is delighted to present this stunning 4-bedroom terraced house for sale Located in Garrick Road, Greenford UB6.",020 8022 6072,"£240,000 ","1 bedroom maisonette for sale, - "
"HAM, RICHMOND","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£420,000 ","2 bedroom ground floor flat for sale, - "
"Bishops Road, Highgate, N6","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£565,000 ","1 bedroom flat for sale, - "
"Battersea Power Station, Nine Elms, London SW8",*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914,"£1,405,000 ","2 bedroom apartment for sale, - "
"Lindley Road, Leyton, London","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£625,000 ,Guide price","3 bedroom terraced house for sale, - "
"Northolt Road, HA2","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£1,800,000 ","6 bedroom detached house for sale, - "
"Rowanwood Avenue, The Hollies, Sidcup, DA15","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£755,000 ,Offers in region of","4 bedroom detached house for sale, - "
"Chartwell Close, Greenford","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£255,000 ","1 bedroom flat for sale, - "
"Elm Park Gardens, London, SW10","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6866,"£1,250,000 ,Guide price","2 bedroom apartment for sale, - "
"Banchory Road, London, SE3","This second floor, one-bedroom apartment features an open plan living/dining area with access to a south facing balcony, overlooking the main piazza. The kitchen comes with fully integrated appliances and matching worktops. Further benefits a large storage cupboard.  High Street Quarter Hounslow...",020 8022 6875,"£845,000 ","4 bedroom semi-detached house for sale, - "
"Green Lane, Chessington, Surrey. KT9 2DS","VIRTUAL VIEWING AVAILABLE

Extremely spacious, three bedroom, Victorian family home arranged over three floors and welcomed to the market in beautiful order throughout.


Energy Efficiency Rating D.",020 8033 0230,"£325,000 ","2 bedroom flat for sale, - "
"Copenhagen Street, N1 0XW",Luxury three bedroom apartment in the region of 1150 sq ft ideally located for local amenities and transport links.,020 8033 5491,"£599,950 ","2 bedroom apartment for sale, - "
"Victoria Road, New Barnet, Barnet, Hertfordshire, EN4","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6771,"£650,000 ","3 bedroom detached house for sale, - "
"West Park Road, Southall, UB2","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£350,000 ","2 bedroom flat for sale, - "
"Green Street, London. W1K",Greengate Residential Ltd are proud to offer for sale this exclusivle  two bedroom ground floor maisonette rarely available in this sought after gated development.,020 8033 2462,"£4,900,000 ","3 bedroom flat for sale, - "
"Stanway Court, Geffrye Estate, London, N1",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£375,000 ","2 bedroom flat for sale, - "
"Whitehall Gardens, London, W3","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£999,500 ","3 bedroom semi-detached house for sale, - "
"Shipwright Road, London SE16","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£425,000 ","2 bedroom flat for sale, - "
"Clement Avenue, Clapham","This 3-BEDROOM HOUSE on Thimble Crescent features an OPEN PLAN LIVING/DINING AREA and kitchen on the ground floor. The main living room is situated on the first floor, with direct access to a PRIVATE TERRACE as well as a double bedroom. The MAIN BEDROOM FEATURES AN EN SUITE and is located on the...",020 8115 0994,"£475,000 ","1 bedroom flat for sale, - "
"47 Pilot Walk, Greenwich, London, SE10","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£995,000 ,Guide price","3 bedroom penthouse for sale, - "
"Beech Grove, Mitcham, CR4",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£465,000 ,Guide price","3 bedroom terraced house for sale, - "
"Glendale Drive, Wimbledon","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£795,000 ,Guide price","3 bedroom maisonette for sale, - "
"Frobisher Road, London, N8",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£580,000 ,Offers over","2 bedroom apartment for sale, - "
"Carthew Villas, Hammersmith","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£825,000 ","2 bedroom flat for sale, - "
"Frederick Place, Woolwich",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£360,000 ,Guide price","2 bedroom terraced house for sale, - "
"Milton Avenue, Kingsbury, London, NW9","We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£665,000 ","5 bedroom detached house for sale, - "
"Museum House, Burnham Street, Bethnal Green, E2","An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£375,000 ","1 bedroom apartment for sale, - "
"Television Centre, White City","Property Point is delighted to present this stunning 4-bedroom terraced house for sale Located in Garrick Road, Greenford UB6.",020 8022 6072,"£1,175,000 ","2 bedroom apartment for sale, - "
"Rosebery Road, Bushey, Hertfordshire, WD23","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£530,000 ","3 bedroom end of terrace house for sale, - "
"Langdale Gardens, Waltham Cross","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£465,000 ,Offers in region of","3 bedroom semi-detached house for sale, - "
Croftongate Way London SE4,*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914,"£299,995 ","1 bedroom flat for sale, - "
CHEAM VILLAGE,"3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£750,000 ,Offers in region of","4 bedroom house for sale, - "
"Beechwood Avenue, Kew, Surrey, TW9","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£1,575,000 ","5 bedroom semi-detached house for sale, - "
"Marlborough Park Avenue, Sidcup, DA15","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£650,000 ,Guide price","5 bedroom chalet for sale, - "
"Mildred Avenue, Northolt","A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£399,950 ","2 bedroom terraced house for sale, - "
"Woodborough Road, London, SW15","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6866,"£550,000 ","2 bedroom apartment for sale, - "
"Prince Henry Road, London, SE7","This second floor, one-bedroom apartment features an open plan living/dining area with access to a south facing balcony, overlooking the main piazza. The kitchen comes with fully integrated appliances and matching worktops. Further benefits a large storage cupboard.  High Street Quarter Hounslow...",020 8022 6875,"£465,000 ","2 bedroom end of terrace house for sale, - "
"Gresham Place, Bow, London, E3","VIRTUAL VIEWING AVAILABLE

Extremely spacious, three bedroom, Victorian family home arranged over three floors and welcomed to the market in beautiful order throughout.


Energy Efficiency Rating D.",020 8033 0230,"£415,000 ,Guide price","1 bedroom apartment for sale, - "
"Beresford Avenue, Surbiton",Luxury three bedroom apartment in the region of 1150 sq ft ideally located for local amenities and transport links.,020 8033 5491,"£675,000 ","4 bedroom semi-detached house for sale, - "
"Cedar Close, Buckhurst Hill","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£550,000 ,Guide price","3 bedroom terraced house for sale, - "
"Shirley Road, Chiswick W4 ",Greengate Residential Ltd are proud to offer for sale this exclusivle  two bedroom ground floor maisonette rarely available in this sought after gated development.,020 8033 2462,"£1,275,000 ","5 bedroom terraced house for sale, - "
"Western Terrace, West Dartford",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£550,000 ,Guide price","5 bedroom semi-detached house for sale, - "
"Manor Park, Hither Green, London, SE13","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£400,000 ","2 bedroom flat for sale, - "
"Marine Street, London SE16","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£425,000 ","1 bedroom flat for sale, - "
"Susan Wood, Chislehurst","This 3-BEDROOM HOUSE on Thimble Crescent features an OPEN PLAN LIVING/DINING AREA and kitchen on the ground floor. The main living room is situated on the first floor, with direct access to a PRIVATE TERRACE as well as a double bedroom. The MAIN BEDROOM FEATURES AN EN SUITE and is located on the...",020 8115 0994,"£395,000 ,Guide price","2 bedroom flat for sale, - "
"Severnake Close, Canary Wharf, London, E14","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£800,000 ,Guide price","4 bedroom terraced house for sale, - "
"Rosemead Avenue, Mitcham, CR4",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£600,000 ","5 bedroom semi-detached house for sale, - "
"Hartfield Road, Wimbledon","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£765,000 ,Guide price","3 bedroom flat for sale, - "
"Boileau Road, London",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£375,000 ","1 bedroom flat for sale, - "
"Westmoreland Terrace, Pimlico","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£685,000 ","3 bedroom flat for sale, - "
"Elm Drive, North Harrow",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£675,000 ","3 bedroom semi-detached house for sale, - "
"Clissold Crescent, Stoke Newington, N16","We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£425,000 ,Guide price","2 bedroom flat for sale, - "
"Sudbourne Road, Brixton","An exceptional six bedroom contemporary detached residence forming part of a luxury gated development  An exceptional contemporary detached residence, forming part of a luxury development situated in one of Hampstead's most desirable locations close to Hampstead Heath. You enter the development...",020 8022 0021,"£600,000 ","2 bedroom flat for sale, - "
"Wooldridge Close, Bedfont Lakes","Property Point is delighted to present this stunning 4-bedroom terraced house for sale Located in Garrick Road, Greenford UB6.",020 8022 6072,"£265,000 ,Offers in excess of","2 bedroom apartment for sale, - "
"Wandsworth Road, Clapham, London, SW8","A very well presented one bedroom flat in a Victorian conversion building  There is a double bedroom with fitted storage, semi open plan kitchen/reception, bathroom and west-facing roof terrace.  Cranley Gardens is a prime address located moments from the shops, restaurants and amenities of both...",020 8115 0721,"£600,000 ,Offers in excess of","3 bedroom flat for sale, - "
"Orchard Crescent, Enfield","An exceptional newly-refurbished duplex maisonette apartment, presented in a meticulously stylish design throughout.  The property offers 1,000 sq. ft. of bright and spacious accommodation, comprising of a brand new dine-in kitchen, reception/ living room, two bedrooms, two bathrooms with a...",020 8022 7100,"£515,000 ","3 bedroom semi-detached house for sale, - "
"Battersea Power Station, Nine Elms, London SW8",*COMING SOON*A stylish and contemporary 1 bedroom apartment spread across approximately 612 sq ft of open-plan living space with lovely East facing views of the Walthamstow Wetlands and the City of London.,020 8033 9914,"£1,651,000 ","2 bedroom apartment for sale, - "
"19 Lind Road, Sutton","3 bedroom period flat with off street parking and private garden, TW1.  Owing to our commitment to keep both our colleagues and clients safe during this period of recommended isolation, we have many self-serve viewing options available to you.  These include video walkthroughs, 360 virtual...",020 8033 5519,"£350,000 ,Guide price","2 bedroom property for sale, - "
"Gloucester Court, Kew Road, Kew, Surrey, TW9","A brand new development by St George, in the heart of historic Kingston upon Thames. High specification 1, 2 and 3 bedroom apartments...",020 8115 0039,"£545,000 ","2 bedroom apartment for sale, - "
"Leander Road, SW2","COMING SOON

The Chapel sits serenely in the gardens of this entirely unique site, and every detail of its construction has been minutely considered.

A definitively ambitious restoration project approached in consultation with architectural historians, Hampstead...",020 8022 7021,"£625,000 ","2 bedroom flat for sale, - "
HAMPTON,"A stylish, immaculately presented 4 bedroom mews house located in the prestigious Kingston Hill Place development. The bright spacious accomodation is arranged over four floors and offers excellent family living space. The property benefits from landscaped communal grounds and a leisure complex.",020 8115 1011,"£435,000 ","2 bedroom property for sale, - "
"Nelson Walk, Bow, London, E3","A Good Size 4 Bedroom, 3 Reception, 2 Bathroom property that has POTENTIAL and located within walking distance of all local facilities.",020 8022 6866,"£425,000 ","2 bedroom flat for sale, - "
"Apt , Station Approach, UB3","This second floor, one-bedroom apartment features an open plan living/dining area with access to a south facing balcony, overlooking the main piazza. The kitchen comes with fully integrated appliances and matching worktops. Further benefits a large storage cupboard.  High Street Quarter Hounslow...",020 8022 6875,"£250,000 ","Studio for sale, - "
"Delmore House, Brondesbury Park, Brondesbury, NW6","VIRTUAL VIEWING AVAILABLE

Extremely spacious, three bedroom, Victorian family home arranged over three floors and welcomed to the market in beautiful order throughout.


Energy Efficiency Rating D.",020 8033 0230,"£1,175,000 ","3 bedroom flat for sale, - "
"Chandos Parade, Buckingham Road, Edgware, Middlesex",Luxury three bedroom apartment in the region of 1150 sq ft ideally located for local amenities and transport links.,020 8033 5491,"£279,950 ","1 bedroom flat for sale, - "
"Limehouse Lodge, Harry Zeital Way, London","Luxury second floor apartment in the recently-built Lexington development, which is situated on the corner of Finchley Road and Llanvanor Road within 5 minutes of the amenities of Golders Green and within walking distance of Hampstead Heath. This stunning second floor apartment of some 996 square...",020 8115 1539,"£375,000 ,Offers in excess of","1 bedroom apartment for sale, - "
HAMPTON,Greengate Residential Ltd are proud to offer for sale this exclusivle  two bedroom ground floor maisonette rarely available in this sought after gated development.,020 8033 2462,"£385,000 ","2 bedroom property for sale, - "
"Wilmington Square, London, WC1X",South Quay Plaza is a development truly unique to the Canary Wharf area. Located just a few moments from the heart of London's financial ...,020 3641 8183,"£450,000 ","1 bedroom flat for sale, - "
"Saxon Court, 5 York Way, London, N1C","Discover classical London living at Royal Warwick Square, with a prestigious collection of 1,2 & 3 bedroom apartments and penthouses...",020 3641 4833,"£550,000 ,Offers in excess of","1 bedroom flat for sale, - "
"Abbeyfield Estate, London SE16","Attractive 2 bedroom Victorian terraced house in need of some modernisation,  The property does have the benefit of gas central heating and double glazing. OFFERED FOR SALE IN A CHAIN FREE POSITION. EARLY VIEWING HIGHLY RECOMMENDED.",020 3544 8034,"£250,000 ","Studio for sale, - "
"Ridgemead Close, Southgate","This 3-BEDROOM HOUSE on Thimble Crescent features an OPEN PLAN LIVING/DINING AREA and kitchen on the ground floor. The main living room is situated on the first floor, with direct access to a PRIVATE TERRACE as well as a double bedroom. The MAIN BEDROOM FEATURES AN EN SUITE and is located on the...",020 8115 0994,"£1,375,000 ","5 bedroom detached house for sale, - "
"Albert Mews, Canary Wharf, London, E14","Elite Land is proud to present this amazing 2 bedroom Riverside Apartment with spectacular views. On the 15th floor of the highly sought after New Providence Wharf, the apartment comprises an open plan kitchen living area, two double bedrooms with built in wardrobes, a main bathroom and ensuite....",020 8022 7347,"£1,250,000 ,Guide price","4 bedroom terraced house for sale, - "
"Deane Croft Road, Pinner, HA5",PROPERTY VIDEO AVAILABLEA rare opportunity to purchase a 0.295 of an acre freehold plot on the west side of one of London’s most prestigious residential addresses.Detailed planning consent has been obtained from Camden Council for both  a traditional mansion and a contemporary detached residence...,020 8115 0944,"£850,000 ","3 bedroom semi-detached house for sale, - "
"Bertram Road, Hendon, London, NW4","*NEW BUILD PROPERTY* Newly available to the market is this wonderful  bespoke executive semi-detached property. The house is arranged over three floors and offers a large reception room, guest W.C. (contd...)",01322 584819,"£375,000 ","2 bedroom flat for sale, - "
"Garvary Road, London",VIRTUAL TOUR & PROPERTY VIDEO AVAILABLEAn extremely rare opportunity to purchase an exceptional residence which has been in the same family ownership for 56 years.The house is prominently situated on one of Hampstead's most sought after streets and benefits from an exceptional plot 0.77 of an...,020 8033 2639,"£300,000 ","2 bedroom maisonette for sale, - "
"Aboyne Road, Earlsfield","Introducing Oval Village, a brand new collection of studio, one, two and three-bedroom apartments ideally located...",020 3641 1268,"£595,000 ","2 bedroom flat for sale, - "
"Shornefield Close, Bickley",John Payne are delighted to welcome to the market this charming five bedroom semi-detached house.,01322 584768,"£520,000 ","3 bedroom terraced house for sale, - "
Saunders Road London SE18,"We’ve unveiled two new furnished penthouses. Take a virtual tour on our website today to experience what Blackwall Reach has to offer.Stamp duty incentives available. Please get in touch for more details.The Penthouse Collection gives you stunning, open-plan luxury living and views of London that...",020 8022 0708,"£250,000 ,Guide price","2 bedroom ground floor flat for sale, - "
